cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "1.95451+-1.57965*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "2.09995+-1.73066*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "0.866447+-0.467474*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.86433+-2.48574*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.370386"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "8.44085+9.33154*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "2.43881+0.679959*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.96067+-0.271844*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "1.89761+-0.46275*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.62795+-2.16458*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.58572+0.975026*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.4504+1.70513*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "1.60302+1.27791*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "1.43426+1.62008*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "1.34726+1.76676*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.40177+1.68811*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "1.05773+2.12186*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "1.34652+1.79853*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "-1.67525+4.98001*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-2.13378+5.45611*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "1.75498+1.47376*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "-4.54357+7.83658*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 1.0033, 1.1, "3.31887"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0.992743"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "0.992743+0*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.992743+0*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "0.992743+0*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.992743+0*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.24172+1.57133*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.28147+-1.38439*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.17456+-0.807536*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "1.08078+-0.545058*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.721095+0.18424*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.47813+0.593825*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "0.137994+1.0845*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "-0.320508+1.66254*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "-0.637595+2.01754*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "-1.79996+3.24134*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-2.4159+3.88088*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "-1.00366+2.43465*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "-3.60996+5.06754*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 1.0033, 1.1, "1.47431"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.00736"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.00736+0*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "1.00736+0*x"
