CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "0.926745+-0.495836*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "9.26981+-8.89729*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.333816"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, -15, 0, "0.566667"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0, 0.1356, "0"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "-0.636552+4.69434*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "0.78696+1.1959*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "1.53046+-0.101426*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "1.30669+0.251414*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.563574+1.32003*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.295838+1.6739*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "0.194897+1.79733*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-0.338334+2.41812*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.88, 0.901, "-0.256895+2.32558*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.901, 0.922, "-0.0149442+2.05704*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.922, 0.943, "1.18884+0.751418*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.943, 0.95915, "0.30484+1.68885*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "-1.40319+3.46962*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.42772+3.49491*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "1.12862+0.891044*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "-13.8643+15.9889*x"
3, iterativefit, down_cferr1, 1, 0.0, 2.4, 20, 30, 1.00435, 1.1, "2.19414"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, -15, 0, "0.980529"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0, 0.1356, "1.38966"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "1.69817+-2.27514*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "0.679905+0.227359*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.126137+1.63382*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "0.604843+0.481218*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "0.744199+0.280821*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.280363+0.893875*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "-0.197415+1.4781*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-0.62535+1.97631*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.88, 0.901, "-0.845433+2.2264*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.901, 0.922, "-0.966775+2.36107*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.922, 0.943, "-0.521994+1.87867*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-1.04693+2.43533*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "-2.27756+3.71837*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-2.49709+3.94459*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "-0.793791+2.20963*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "-11.6912+13.1833*x"
3, iterativefit, up_cferr2, 1, 0.0, 2.4, 20, 30, 1.00435, 1.1, "1.54945"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, -15, 0, "1.02026"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0, 0.1356, "0.594546"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.273536+2.36733*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.33306+-0.236572*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "2.17177+-1.70002*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "1.41117+-0.500717*x"
3, iterativefit, down_cferr2, 1, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "1.26617+-0.2922*x"
